batter,bat_team,opposition,venue,innings,batter_avg,batter_rpm,batter_sr,batter_bpm,batter_avg_last5,batter_sr_last5,batter_rpm_last5,batter_bpm_last5,bat_team_avg,batter_avg_opp,batter_sr_opp,batter_rpm_opp,batter_bpm_opp,bat_team_avg_opp,all_team_avg_opp,batter_avg_inn,batter_sr_inn,batter_rpm_inn,batter_bpm_inn,bat_team_avg_inn,all_team_avg_inn,batter_avg_ven,batter_sr_ven,batter_rpm_ven,batter_bpm_ven,bat_team_avg_ven,all_team_avg_ven
59148.0,New Zealand,South Africa,Dubai International Cricket Stadium,2,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,23.0,66.86046511627907,23.0,2.5,200.77941176470588,202.4392803598201,36.03636363636364,85.61555075593952,25.74025974025974,2.5974025974025974,185.04773869346727,187.33973948323725,13.0,65.0,13.0,0.0,232.0,387.64912280701753
59148.0,New Zealand,South Africa,National Stadium,1,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,23.0,66.86046511627907,23.0,2.5,200.77941176470588,202.4392803598201,33.09375,85.67961165048544,30.257142857142856,2.9,215.99278846153845,219.1707112970712,33.0,77.46478873239437,33.0,2.4,221.42857142857144,424.89230769230767
59148.0,New Zealand,South Africa,National Stadium,2,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,23.0,66.86046511627907,23.0,2.5,200.77941176470588,202.4392803598201,36.03636363636364,85.61555075593952,25.74025974025974,2.5974025974025974,185.04773869346727,187.33973948323725,33.0,77.46478873239437,33.0,2.4,221.42857142857144,424.89230769230767
59148.0,New Zealand,South Africa,Gaddafi Stadium,1,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,23.0,66.86046511627907,23.0,2.5,200.77941176470588,202.4392803598201,33.09375,85.67961165048544,30.257142857142856,2.9,215.99278846153845,219.1707112970712,0.0,0.0,0.0,0.0,212.5,440.4411764705882
59148.0,New Zealand,South Africa,Gaddafi Stadium,2,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,23.0,66.86046511627907,23.0,2.5,200.77941176470588,202.4392803598201,36.03636363636364,85.61555075593952,25.74025974025974,2.5974025974025974,185.04773869346727,187.33973948323725,0.0,0.0,0.0,0.0,212.5,440.4411764705882
59148.0,New Zealand,South Africa,Rawalpindi Cricket Stadium,1,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,23.0,66.86046511627907,23.0,2.5,200.77941176470588,202.4392803598201,33.09375,85.67961165048544,30.257142857142856,2.9,215.99278846153845,219.1707112970712,20.0,55.55555555555556,20.0,0.0,223.5,416.6
59148.0,New Zealand,South Africa,Rawalpindi Cricket Stadium,2,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,23.0,66.86046511627907,23.0,2.5,200.77941176470588,202.4392803598201,36.03636363636364,85.61555075593952,25.74025974025974,2.5974025974025974,185.04773869346727,187.33973948323725,20.0,55.55555555555556,20.0,0.0,223.5,416.6
59148.0,New Zealand,Australia,Dubai International Cricket Stadium,1,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,14.6,68.22429906542057,14.6,1.1,188.97142857142856,199.8028028028028,33.09375,85.67961165048544,30.257142857142856,2.9,215.99278846153845,219.1707112970712,13.0,65.0,13.0,0.0,232.0,387.64912280701753
59148.0,New Zealand,Australia,Dubai International Cricket Stadium,2,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,14.6,68.22429906542057,14.6,1.1,188.97142857142856,199.8028028028028,36.03636363636364,85.61555075593952,25.74025974025974,2.5974025974025974,185.04773869346727,187.33973948323725,13.0,65.0,13.0,0.0,232.0,387.64912280701753
59148.0,New Zealand,Australia,National Stadium,1,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,14.6,68.22429906542057,14.6,1.1,188.97142857142856,199.8028028028028,33.09375,85.67961165048544,30.257142857142856,2.9,215.99278846153845,219.1707112970712,33.0,77.46478873239437,33.0,2.4,221.42857142857144,424.89230769230767
59148.0,New Zealand,Australia,National Stadium,2,34.166666666666664,27.7027027027027,85.59498956158664,2.722972972972973,14.0,75.67567567567568,29.4,3.4,201.0,14.6,68.22429906542057,14.6,1.1,188.97142857142856,199.8028028028028,36.03636363636364,85.61555075593952,25.74025974025974,2.5974025974025974,185.04773869346727,187.33973948323725,33.0,77.46478873239437,33.0,2.4,221.42857142857144,424.89230769230767
