bowler,bowl_team,opposition,venue,innings,bowler_avg,bowler_eco,bowler_sr,bowler_wpm,bowler_avg_last5,bowler_eco_last5,bowler_sr_last5,bowler_wpm_last5,bowling_fp,matchup_score,bowl_team_avg,bowler_avg_opp,bowler_eco_opp,bowler_sr_opp,bowler_wpm_opp,bowl_team_avg_opp,all_team_avg_opp,bowler_avg_inn,bowler_sr_inn,bowler_wpm_inn,bowler_eco_inn,bowl_team_avg_inn,all_team_avg_inn,bowler_avg_ven,bowler_sr_ven,bowler_wpm_ven,bowler_eco_ven,bowl_team_avg_ven,all_team_avg_ven
54674.0,Bangladesh,England,Gaddafi Stadium,1,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,128.0,6.080760095011876,126.5,0.4,280.5131107338238,249.0292764102321,26.84705882352941,30.2,1.7872340425531914,5.343011004448607,262.7130264446621,247.22206982234692,,,,,282.1666666666667,236.0955882352941
54674.0,Bangladesh,England,Gaddafi Stadium,2,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,128.0,6.080760095011876,126.5,0.4,280.5131107338238,249.0292764102321,25.13157894736842,30.57894736842105,1.4339622641509433,4.948186528497409,245.59615164356887,236.41603248102467,,,,,282.1666666666667,236.0955882352941
54674.0,Bangladesh,England,Rawalpindi Cricket Stadium,1,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,128.0,6.080760095011876,126.5,0.4,280.5131107338238,249.0292764102321,26.84705882352941,30.2,1.7872340425531914,5.343011004448607,262.7130264446621,247.22206982234692,,,,,,223.36
54674.0,Bangladesh,England,Rawalpindi Cricket Stadium,2,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,128.0,6.080760095011876,126.5,0.4,280.5131107338238,249.0292764102321,25.13157894736842,30.57894736842105,1.4339622641509433,4.948186528497409,245.59615164356887,236.41603248102467,,,,,,223.36
54674.0,Bangladesh,South Africa,Dubai International Cricket Stadium,1,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,28.75,4.25925925925926,40.5,1.1428571428571428,277.70367330186747,257.9193003694626,26.84705882352941,30.2,1.7872340425531914,5.343011004448607,262.7130264446621,247.22206982234692,30.0,39.0,1.0,4.615384615384615,149.0,205.44736842105263
54674.0,Bangladesh,South Africa,Dubai International Cricket Stadium,2,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,28.75,4.25925925925926,40.5,1.1428571428571428,277.70367330186747,257.9193003694626,25.13157894736842,30.57894736842105,1.4339622641509433,4.948186528497409,245.59615164356887,236.41603248102467,30.0,39.0,1.0,4.615384615384615,149.0,205.44736842105263
54674.0,Bangladesh,South Africa,National Stadium,1,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,28.75,4.25925925925926,40.5,1.1428571428571428,277.70367330186747,257.9193003694626,26.84705882352941,30.2,1.7872340425531914,5.343011004448607,262.7130264446621,247.22206982234692,,,,,242.0,225.7384615384616
54674.0,Bangladesh,South Africa,National Stadium,2,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,28.75,4.25925925925926,40.5,1.1428571428571428,277.70367330186747,257.9193003694626,25.13157894736842,30.57894736842105,1.4339622641509433,4.948186528497409,245.59615164356887,236.41603248102467,,,,,242.0,225.7384615384616
54674.0,Bangladesh,South Africa,Gaddafi Stadium,1,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,28.75,4.25925925925926,40.5,1.1428571428571428,277.70367330186747,257.9193003694626,26.84705882352941,30.2,1.7872340425531914,5.343011004448607,262.7130264446621,247.22206982234692,,,,,282.1666666666667,236.0955882352941
54674.0,Bangladesh,South Africa,Gaddafi Stadium,2,26.34567901234568,5.189057750759878,30.549382716049383,1.594059405940594,60.5,6.080402010050252,60.5,0.8,68.0,0.4160530132030167,254.1016753321779,28.75,4.25925925925926,40.5,1.1428571428571428,277.70367330186747,257.9193003694626,25.13157894736842,30.57894736842105,1.4339622641509433,4.948186528497409,245.59615164356887,236.41603248102467,,,,,282.1666666666667,236.0955882352941
