match_id,innings,batting_team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1445034,2,Netherlands,Netherlands,0,0,0,0,0.00,DNB,,,
1445034,2,Netherlands,Canada,0,0,0,0,0.00,DNB,,,
1445035,2,Canada,SR Taylor,27,50,5,0,54.00,Yes,caught,,SC van Schalkwyk
1445035,2,Canada,SK Patel,63,86,5,1,73.26,Yes,bowled,,SC van Schalkwyk
1445035,2,Canada,MD Patel,121,96,7,5,126.04,No,,,SC van Schalkwyk
1445035,2,Canada,Aaron Jones,15,28,1,0,53.57,Yes,stumped,,SC van Schalkwyk
1445035,2,Canada,Milind Kumar,0,1,0,0,0.00,Yes,lbw,,SC van Schalkwyk
1445035,2,Canada,Shayan Jahangir,57,48,6,0,118.75,No,,,SC van Schalkwyk
1445035,2,Canada,A Johnson,55,42,7,4,130.95,Yes,caught,,SC van Schalkwyk
1445035,2,Canada,Aaditya Varadarajan,4,22,0,0,18.18,Yes,lbw,,SC van Schalkwyk
1445035,2,Canada,Pargat Singh,42,52,5,1,80.77,Yes,lbw,,SC van Schalkwyk
1445035,2,Canada,DS Bajwa,2,9,0,0,22.22,Yes,caught,,SC van Schalkwyk
1445035,2,Canada,NR Kirton,14,18,2,0,77.78,Yes,caught,,SC van Schalkwyk
1445035,2,Canada,H Thaker,77,80,7,1,96.25,Yes,caught,,SC van Schalkwyk
1445035,2,Canada,S Movva,1,3,0,0,33.33,Yes,caught,,SC van Schalkwyk
1445035,2,Canada,Saad Bin Zafar,7,7,1,0,100.00,Yes,caught,,SC van Schalkwyk
1445035,2,Canada,D Heyliger,56,65,6,1,86.15,Yes,caught,,SC van Schalkwyk
1445035,2,Canada,Kaleem Sana,10,9,0,1,111.11,No,,,SC van Schalkwyk
1445035,2,Canada,JOA Gordon,7,2,0,1,350.00,No,,,SC van Schalkwyk
1445035,2,Canada,United States of America,0,0,0,0,0.00,DNB,,,
1445035,2,Canada,Canada,0,0,0,0,0.00,DNB,,,
1445036,2,United States of America,M Levitt,10,18,1,0,55.56,Yes,bowled,,PA van Meekeren
1445036,2,United States of America,MP O'Dowd,49,68,6,0,72.06,Yes,bowled,,PA van Meekeren
1445036,2,United States of America,Vikramjit Singh,59,84,4,0,70.24,No,,,PA van Meekeren
1445036,2,United States of America,W Barresi,6,22,0,0,27.27,Yes,lbw,,PA van Meekeren
