Match ID,innings,batting_team,striker,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1450692,2,United Arab Emirates,Junaid Siddique,0.0,1.0,0.0,0.0,0.0,True,caught and bowled,,T Lungameni
1450692,2,United Arab Emirates,Muhammad Jawadullah,0.0,1.0,0.0,0.0,0.0,False,not out,['-'],
1450692,2,United Arab Emirates,R Chopra,8.0,14.0,1.0,0.0,57.14,True,lbw,,JN Loftie-Eaton
1450692,2,United Arab Emirates,RN Bhatia,1.0,6.0,0.0,0.0,16.67,True,bowled,,JN Loftie-Eaton
1450692,2,United Arab Emirates,V Sukumaran,97.0,93.0,8.0,5.0,104.3,True,caught,,JN Loftie-Eaton
1450692,2,United Arab Emirates,Waseem Muhammad,19.0,32.0,3.0,0.0,59.38,True,caught,,T Lungameni
1450692,1,Namibia,T Lungameni,,,,,,False,DNB,,
1450693,1,Namibia,BM Scholtz,31.0,19.0,1.0,2.0,163.16,True,run out,,Jasdeep Singh
1450693,1,Namibia,DO Leicher,32.0,31.0,2.0,2.0,103.23,True,run out,,Milind Kumar
1450693,1,Namibia,JJ Smit,60.0,87.0,3.0,3.0,68.97,False,not out,['-'],
1450693,1,Namibia,JN Loftie-Eaton,49.0,50.0,4.0,3.0,98.0,True,caught,,SC van Schalkwyk
1450693,1,Namibia,JP Kotze,0.0,5.0,0.0,0.0,0.0,True,lbw,,SC van Schalkwyk
1450693,1,Namibia,M van Lingen,67.0,44.0,12.0,2.0,152.27,True,caught,,NP Kenjige
1450693,1,Namibia,MB Kruger,1.0,6.0,0.0,0.0,16.67,True,lbw,,SC van Schalkwyk
1450693,1,Namibia,MG Erasmus,14.0,35.0,0.0,0.0,40.0,True,lbw,,Yasir Mohammad
1450693,1,Namibia,T Lungameni,1.0,1.0,0.0,0.0,100.0,False,not out,['-'],
1450693,1,Namibia,ZE Green,17.0,30.0,3.0,0.0,56.67,True,bowled,,SC van Schalkwyk
1450693,2,United States of America,AGS Gous,81.0,68.0,6.0,5.0,119.12,True,caught,,JN Loftie-Eaton
1450693,2,United States of America,MD Patel,31.0,44.0,1.0,1.0,70.45,True,caught,,PD Blignaut
1450693,2,United States of America,Milind Kumar,74.0,67.0,5.0,5.0,110.45,False,not out,['-'],
1450693,2,United States of America,SK Patel,9.0,24.0,1.0,0.0,37.5,True,caught,,DO Leicher
1450693,2,United States of America,SR Mukkamalla,79.0,74.0,4.0,3.0,106.76,False,not out,['-'],
1450693,1,Namibia,PD Blignaut,,,,,,False,DNB,,
1450693,2,United States of America,Shayan Jahangir,,,,,,False,DNB,,
1450693,2,United States of America,Jasdeep Singh,,,,,,False,DNB,,
1450693,2,United States of America,NP Kenjige,,,,,,False,DNB,,
1450693,2,United States of America,Yasir Mohammad,,,,,,False,DNB,,
1450693,2,United States of America,SC van Schalkwyk,,,,,,False,DNB,,
1450693,2,United States of America,SN Netravalkar,,,,,,False,DNB,,
1450694,1,United States of America,AGS Gous,5.0,9.0,1.0,0.0,55.56,True,caught,,Junaid Siddique
1450694,1,United States of America,MD Patel,5.0,11.0,0.0,0.0,45.45,True,caught,,Ali Naseer
1450694,1,United States of America,Milind Kumar,155.0,113.0,16.0,5.0,137.17,False,not out,['-'],
1450694,1,United States of America,SK Patel,48.0,59.0,7.0,0.0,81.36,True,lbw,,Aayan Afzal Khan
1450694,1,United States of America,SR Mukkamalla,107.0,100.0,15.0,1.0,107.0,True,caught,,Aayan Afzal Khan
1450694,1,United States of America,Shayan Jahangir,12.0,14.0,1.0,0.0,85.71,False,not out,['-'],
1450694,2,United Arab Emirates,A Sharma,11.0,16.0,2.0,0.0,68.75,True,caught,,SN Netravalkar
1450694,2,United Arab Emirates,Aayan Afzal Khan,10.0,26.0,0.0,0.0,38.46,True,caught,,NP Kenjige
1450694,2,United Arab Emirates,Ali Naseer,0.0,4.0,0.0,0.0,0.0,True,caught,,SC van Schalkwyk
1450694,2,United Arab Emirates,Asif Khan,51.0,49.0,7.0,1.0,104.08,True,caught,,Jasdeep Singh
1450694,2,United Arab Emirates,Basil Hameed,50.0,46.0,3.0,4.0,108.7,False,not out,['-'],
1450694,2,United Arab Emirates,Junaid Siddique,0.0,1.0,0.0,0.0,0.0,True,caught and bowled,,NP Kenjige
1450694,2,United Arab Emirates,Omid Shafi Rahman,1.0,5.0,0.0,0.0,20.0,True,caught,,Jasdeep Singh
1450694,2,United Arab Emirates,R Chopra,52.0,44.0,7.0,1.0,118.18,True,lbw,,Milind Kumar
1450694,2,United Arab Emirates,RN Bhatia,3.0,7.0,0.0,0.0,42.86,True,stumped,,NP Kenjige
1450694,2,United Arab Emirates,V Sukumaran,7.0,13.0,1.0,0.0,53.85,True,caught,,SN Netravalkar
1450694,2,United Arab Emirates,Waseem Muhammad,12.0,11.0,1.0,1.0,109.09,True,caught,,SN Netravalkar
1450694,1,United States of America,SC van Schalkwyk,,,,,,False,DNB,,
1450694,1,United States of America,Jasdeep Singh,,,,,,False,DNB,,
1450694,1,United States of America,NP Kenjige,,,,,,False,DNB,,
1450694,1,United States of America,Yasir Mohammad,,,,,,False,DNB,,
1450694,1,United States of America,SN Netravalkar,,,,,,False,DNB,,
1450695,1,United Arab Emirates,A Sharafu,31.0,27.0,6.0,0.0,114.81,True,caught,,B Shikongo
1450695,1,United Arab Emirates,A Sharma,0.0,2.0,0.0,0.0,0.0,True,lbw,,JJ Smit
1450695,1,United Arab Emirates,Ali Naseer,61.0,65.0,7.0,2.0,93.85,True,caught,,JJ Smit
1450695,1,United Arab Emirates,Asif Khan,26.0,63.0,3.0,0.0,41.27,True,caught,,MG Erasmus
1450695,1,United Arab Emirates,Basil Hameed,13.0,15.0,1.0,1.0,86.67,True,caught,,BM Scholtz
1450695,1,United Arab Emirates,Junaid Siddique,7.0,13.0,0.0,1.0,53.85,True,caught,,T Lungameni
1450695,1,United Arab Emirates,Muhammad Farooq,4.0,10.0,1.0,0.0,40.0,True,caught,,S Fouché
1450695,1,United Arab Emirates,Omid Shafi Rahman,0.0,2.0,0.0,0.0,0.0,False,not out,['-'],
