Match ID,innings,team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1375847,2,Australia,eaa76d3c,77,105,4,2,73.33,False,not out,,83d17bbc
1375847,2,Australia,989889ff,65,44,10,1,147.73,False,not out,,c6097d68
1375847,2,Australia,30a45b23,79,82,8,0,96.34,False,not out,,97bdec3d
1375847,2,Australia,fa433be6,,,,,,False,DNB,,
1375847,2,Australia,a90e53ec,,,,,,False,DNB,,
1375847,2,Australia,d405c0d5,,,,,,False,DNB,,
1375847,2,Australia,1a2676c5,,,,,,False,DNB,,
1375847,2,Australia,3b53243a,,,,,,False,DNB,,
1375847,2,Australia,b08e58e2,,,,,,False,DNB,,
1375847,2,Australia,14f96089,,,,,,False,DNB,,
